The	O
selected	O
colleague	O
will	O
develop	O
conjugation	O
processes	O
for	O
conjugate	O
vaccines	O
from	O
peptides	O
,	O
proteins	O
,	O
polysaccharides	O
and	O
produce	O
immunological	O
reagents	O
using	O
diverse	O
techniques	O
and	O
tools	O
from	O
biochemistry	O
and	O
chemistry	O
,	O
including	O
various	O
purification	O
techniques	O
.	O
Knowledge	O
and	O
experience	O
using	O
nanoparticles	O
and	O
virus	O
like	O
particles	O
-LRB-	O
VLPs	O
-RRB-	O
as	O
vaccine	O
candidates	O
is	O
a	O
plus	O
These	O
include	O
implementation	O
of	O
processes	O
for	O
polysaccharide	O
derivatives	O
,	O
proteins	O
,	O
multiprotein	O
complexes	O
,	O
virus	O
like	O
particles	O
and	O
nanoparticles	O
using	O
broad	O
range	O
of	O
bioconjugation	O
strategies	O
and	O
fractionation	O
methods	O
and	O
chromatographic	O
techniques	O
.	O
It	O
is	O
also	O
expected	O
that	O
the	O
incumbent	O
will	O
perform	O
analysis	O
/	O
characterization	O
of	O
isolated	O
macromolecules	O
with	O
various	O
bioanalytical	O
/	O
biophysical	O
methodologies	O
.	O
Careful	O
documentation	O
of	O
work	O
and	O
data	O
is	O
required	O
.	O
All	O
work	O
is	O
to	O
be	O
done	O
in	O
a	O
compliant	O
manner	O
according	O
to	O
SOP	O
guidelines	O
and	O
cGMP/GLP	O
regulations	O
,	O
where	O
applicable	O
.	O
Role	O
Responsibilities	O
.	O
Develop	O
processes	O
for	O
conjugate	O
vaccines	O
using	O
a	O
variety	O
of	O
bioconjugation	O
,	O
carbohydrate	O
,	O
peptide	O
and	O
protein	O
chemistry	O
technologies	O
.	O
Develop	O
purification	O
processes	O
for	O
conjugate	O
vaccines	O
using	O
a	O
variety	O
of	O
ultra/diafiltration	O
,	O
etc.	O
,	O
and	O
chromatographic	O
techniques	O
-LRB-	O
affinity	O
,	O
ion	O
exchange	O
,	O
hydrophobic	O
interaction	O
,	O
etc	O
-RRB-	O
.	O
In-process	O
characterization	O
and	O
analysis	O
of	O
carbohydrates	O
,	O
peptides	O
,	O
nanoparticles	O
,	O
proteins	O
and	O
conjugate	O
vaccines	O
using	O
a	O
variety	O
of	O
chmromatographic	O
methods	O
,	O
colorimetric	O
and	O
spectrometric	O
techniques	O
such	O
as	O
NMR	O
,	O
mass	O
spectrometry	O
,	O
light	O
scattering	O
,	O
capillary	O
electrophoresis	O
and	O
protein	O
chemistry	O
technologies	O
.	O
Analyze	O
,	O
document	O
and	O
interpret	O
scientific	O
research	O
and	O
technical	O
data	O
.	O
Author	O
and	O
review	O
technical	O
documents	O
,	O
reports	O
,	O
production	O
records	O
,	O
technology	O
transfer	O
reports	O
.	O
Develop	O
and	O
present	O
data	O
in	O
internal	O
as	O
well	O
as	O
external	O
meetings	O
and	O
management	O
.	O
Knowledge	O
of	O
regulatory	O
frameworks	O
such	O
as	O
chemistry	O
,	O
manufacturing	O
and	O
control	O
-LRB-	O
CMC	Organization
-RRB-	O
and	O
cGMP	O
environments	O
.	O
Follow	O
all	O
Pfizer	Organization
safety	O
,	O
training	O
and	O
laboratory	O
research	O
guidelines	O
to	O
work	O
in	O
compliance	O
with	O
all	O
regulations	O
and	O
standard	O
procedures	O
.	O
Qualifications	O
.	O
Ph	O
D	O
in	O
Chemistry	O
or	O
Biochemistry	O
with	O
0-2	Duration
years	Duration
of	O
postdoctoral	O
experience	O
,	O
preferably	O
in	O
a	O
Biopharmaceutical	O
or	O
Vaccine	O
industry	O
environment	O
.	O
MS	O
in	O
Chemistry	O
or	O
Biochemistry	O
with	O
5-7years	O
of	O
experience	O
,	O
preferably	O
in	O
a	O
Biopharmaceutical/Vaccine	O
industry	O
environment	O
.	O
Proficient	O
in	O
handling	O
peptides	O
,	O
proteins	O
,	O
carbohydrates	O
,	O
polysaccharides	O
and	O
nanoparticles	O
.	O
Proficient	O
in	O
bioconjugation	O
techniques	O
and	O
protein	O
chemistry	O
technologies	O
as	O
they	O
related	O
conjugate	O
vaccine	O
development	O
.	O
Experienced	O
in	O
large	O
scale	O
purification	O
processes	O
applicable	O
to	O
peptides	O
,	O
proteins	O
,	O
polysaccharides	O
,	O
nanoparticles	O
and	O
bioconjugates	O
.	O
Proficient	O
in	O
chromatographic	O
purification	O
,	O
ultrafiltration/diafiltration	O
,	O
separation	O
of	O
macromolecules	O
,	O
virus	O
like	O
particles	O
and	O
nanoparticles	O
.	O
Experienced	O
in	O
bioprocess	O
development	O
,	O
scale-up	O
and	O
technology	O
transfer	O
to	O
clinical	O
trial	O
manufacturing	O
facilities	O
.	O
Well	O
versed	O
in	O
analytical	O
and	O
bioanalytical	O
techniques	O
applicable	O
to	O
peptides	O
,	O
proteins	O
